"연령별",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
"45 - 49세",979930,1001234,1018295,1028448,1042490,1067093,1098163,1139852,1197933,1239082,1271554,1288932,1295548,1314772,1352755,1398399,1448885,1512900,1583123,1659875,1756088,1851271,1928379,2001786,2066471,2119340,2166942,2211518,2230327,2219245,2166709,2155466,2180285,2246633,2335451,2418904,2478292,2553587,2613214,2716095,2921443,3160621,3346133,3569142,3802111,3958097,4139484,4248784,4354664,4321262,4271709,4191090,4173386,4125313,4295086,4354036,4441770,4506942,4553179,4487622,4385732,4210888,4057029,3921880,3816168,3852109,3929899,4025505,4055053,4004185,3829171,3653512,3458026,3308119,3242703,3246947,3257834,3344476,3448084,3524147,3576072,3622223,3589968,3534478,3456878,3394298,3304061,3150054,2976537,2836310,2658735,2497970,2441337,2448432,2424455,2424456,2468345,2484284,2463872,2448837,2447992,2399281,2315618,2202743,2089350,1939183,1782012,1655303,1553118,1467747,1413217
"50 - 54세",845256,862029,886427,899002,897329,909012,933841,955066,964239,978427,1017150,1041058,1071643,1122447,1169097,1202947,1224803,1243071,1261600,1289291,1324926,1376616,1444187,1517874,1600217,1686760,1772028,1852866,1927566,1994986,2021714,2066185,2111226,2126067,2111389,2090711,2074866,2103395,2173953,2270251,2365862,2427537,2505591,2568222,2664066,2861891,3106401,3287112,3524016,3761143,3934363,4163908,4263019,4364665,4334785,4289039,4170297,4163840,4122273,4297890,4338269,4423203,4481723,4517041,4445725,4354882,4189556,4045100,3914379,3811402,3847685,3925754,4021644,4051809,4001765,3828049,3653528,3459235,3310190,3245355,3250106,3261645,3348714,3452865,3529578,3582125,3628828,3597304,3542382,3465263,3403060,3313251,3159600,2986254,2846088,2668681,2507955,2451276,2458522,2434843,2435016,2479118,2495394,2475264,2460385,2459697,2411171,2327543,2214575,2100985,1950597
"55 - 59세",628974,630604,640591,677339,726011,756811,778738,802670,821228,830540,846448,874484,872562,874616,890487,919381,951865,993395,1047164,1097369,1130835,1144240,1159080,1181647,1215411,1258578,1306470,1369732,1441506,1516598,1589504,1674389,1749203,1820265,1881895,1927926,1961234,2011322,2029040,2016474,2006389,2008937,2041047,2105442,2196938,2285610,2363424,2441497,2518813,2611705,2817315,3065255,3241925,3457310,3699016,3884217,4134915,4225899,4340508,4295393,4237067,4111535,4106280,4061077,4231801,4278091,4370025,4436508,4475665,4408341,4319666,4157041,4014806,3886233,3785223,3822443,3901388,3998081,4029354,3980641,3808892,3636063,3443516,3295807,3231859,3237253,3249552,3337062,3441706,3519037,3572201,3619468,3588820,3534672,3458283,3396719,3307607,3154618,2981759,2841929,2664991,2504599,2448045,2455526,2432239,2432653,2476994,2493628,2473844,2459169,2458673
"60 - 64세",518465,535842,538118,525579,521670,530387,539542,552756,586162,634557,658773,684845,689332,698262,698520,709170,744604,773967,793066,811766,835876,860174,893176,935774,977601,1010305,1035168,1055954,1079622,1111801,1156731,1205934,1267444,1332971,1404302,1488523,1587609,1659101,1724288,1779701,1817056,1859995,1915420,1950647,1946812,1946175,1933740,1963549,2024598,2117041,2212040,2302960,2377804,2443552,2541221,2750831,2994342,3170368,3389068,3627949,3814370,4064463,4144198,4252206,4200087,4143522,4029785,4032306,3991598,4161658,4209740,4302480,4369964,4410485,4346220,4260394,4101550,3962525,3836953,3738616,3777114,3857037,3954533,3987072,3940020,3770798,3600220,3410025,3264142,3201379,3207546,3220729,3308673,3413768,3491754,3545652,3593610,3564077,3510965,3435568,3374873,3286705,3134696,2962686,2823506,2647369,2487603,2431336,2439118,2416305,2417019
"65 - 69세",345675,344564,360707,386169,390534,403947,425836,434477,428329,428822,428725,467031,455436,476567,511455,538406,557018,577862,596346,608411,623957,640668,658652,674263,690739,712208,739370,774362,816658,866053,900851,919104,938875,965304,1002718,1048214,1100172,1164709,1229902,1298093,1381212,1461093,1528114,1592234,1649747,1689609,1734658,1804867,1866427,1870279,1878314,1846336,1874691,1914508,2005729,2105631,2210004,2286519,2356588,2448622,2662232,2895582,3063244,3273593,3507325,3685447,3933261,4017343,4126806,4079275,4027289,3919773,3924975,3888821,4058324,4108715,4202824,4271769,4314046,4253744,4171671,4017766,3882973,3761478,3666872,3707087,3788062,3886307,3920141,3874951,3709007,3541625,3354902,3211819,3150895,3158194,3172573,3261041,3366522,3445090,3499695,3548307,3520137,3468468,3394509,3335110,3248364,3097853,2927238,2789203,2614478
"70 - 74세",210394,224438,227011,223091,235616,245292,260200,257088,268120,278900,311808,321793,318364,316993,310619,335061,345540,357675,378315,405381,425995,441394,459713,475169,489218,506353,517741,535655,553867,570640,598852,619032,649470,690656,733184,766793,788665,813599,842637,881165,922213,963947,1023257,1081502,1140499,1214841,1294801,1362205,1426335,1492503,1539637,1587018,1674052,1754449,1763752,1779544,1729122,1756800,1795390,1886106,1990347,2090931,2167931,2240360,2328861,2533229,2758924,2924439,3129224,3355813,3532151,3775018,3859232,3968378,3925442,3879477,3780482,3789260,3759220,3927377,3980283,4075486,4145423,4189354,4134241,4057021,3909898,3781078,3665385,3576088,3618518,3700463,3799118,3834165,3791266,3630233,3467942,3286821,3148289,3090226,3099044,3114932,3203825,3309378,3388333,3443583,3492804,3466469,3416874,3345067,3287696
"75 - 79세",111199,116485,126531,134787,143397,151950,157264,150598,145121,145016,149850,162497,164326,172242,181623,205140,215892,223076,223042,221813,227859,235639,254134,270403,288285,308108,317362,328409,341072,353200,393129,411385,425260,432880,441816,459426,484221,509498,540375,576492,608084,629856,654403,678767,713772,751853,791754,844714,898014,954171,1025532,1101326,1167399,1228474,1298398,1350503,1400166,1494315,1579149,1589635,1608464,1567531,1600887,1643360,1730805,1828637,1921904,1998680,2070706,2156812,2353038,2565904,2724946,2920020,3135101,3307259,3540840,3623242,3730089,3692145,3654343,3567929,3580707,3559359,3723921,3779427,3875017,3945102,3990179,3942425,3871961,3735313,3615833,3509401,3428703,3474400,3557266,3655704,3691904,3651998,3498889,3345146,3173837,3043421,2990369,3001549,3019757,3108787,3213500,3292193,3347734
"80 - 84세",59182,65394,68467,72121,75588,79894,83334,85761,91367,95805,100925,103202,106532,111452,116813,138840,143663,150745,159459,169337,178222,180478,186916,194699,205373,215180,226263,238002,250263,263092,302252,316920,332251,348153,364774,382219,421824,441505,456139,467826,310114,329611,350265,375966,404920,429246,448312,470006,492598,528386,565597,599815,643644,687406,733018,793916,867222,930279,987409,1055839,1109242,1157941,1246971,1325872,1337468,1352964,1318942,1356077,1400612,1479431,1567366,1645745,1718718,1787331,1867498,2047493,2236075,2381309,2556853,2749088,2910675,3124393,3199448,3298713,3266553,3240775,3174476,3192085,3183836,3338819,3396066,3489330,3556699,3601213,3565012,3505263,3386984,3283886,3194124,3128938,3179361,3261891,3357527,3393792,3357996,3219667,3082483,2930439,2815735,2771915,2786671
"85 - 89세",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128397,138867,150508,158543,165287,173940,188510,203971,224477,244803,261945,275332,290468,305257,335355,363551,391295,425167,458588,497418,548700,606100,657653,704923,758529,799600,837970,907471,968070,977211,989311,962934,999919,1041983,1104841,1174623,1230106,1292915,1351708,1418271,1566729,1713491,1831194,1970897,2122572,2259777,2434587,2493433,2575147,2549115,2537854,2498663,2519444,2526201,2658740,2713200,2796613,2854656,2894297,2873673,2829125,2739463,2662040,2598493,2557056,2610882,2687770,2772972,2805101,2774340,2661753
"90 - 94세",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37139,39163,41466,43367,46025,50264,56026,62191,67293,71866,77964,86046,95044,109626,116393,120958,128909,138080,147576,168248,187321,204369,227083,249986,274908,306778,340331,370155,397250,428894,453607,476968,520256,556839,561484,568310,551047,581196,613271,653100,696895,725497,769437,809978,854248,953959,1044133,1120413,1208922,1303925,1398874,1514100,1548131,1601130,1581744,1583060,1570470,1589212,1605439,1698546,1740268,1800618,1839826,1867978,1862193,1835403,1781742,1736006,1703159,1687302,1735649
"95 - 99세",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6758,7294,7704,8184,8700,9516,10113,10958,11541,12800,14866,16966,18920,20321,21645,23923,26886,31033,37233,38355,40208,43186,48069,53667,62196,69956,76598,85583,94695,104764,117586,130684,142341,152752,165518,175620,185297,204068,219091,219965,222239,213927,230872,247457,264567,283169,291879,313525,332786,352869,399763,437292,471026,509315,550205,596328,649090,660354,683552,672173,677628,678579,689401,702998,749281,770993,801089,818330,831633,832758,820695
"100세 이상",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,1094,1228,1301,1353,1518,1640,1764,1907,2078,2254,2340,2511,2618,2836,3142,3479,3867,4152,4771,5353,5707,6574,8172,8234,8643,9451,10751,12367,14250,15978,17469,19672,21933,24458,27618,30705,33550,36065,39327,42035,44638,49649,53393,53533,54204,52152,58165,63309,67348,71846,72727,79793,85624,91257,104650,113550,122953,133165,144032,158648,173441,175746,182791,180259,185272,189169,192564,198566,211466,218262
